,node1,node2,gender1,gender2,grt,score,biscore
0,134,561,1,2,0,[0.7753567],1
1,475,1046,1,1,0,[0.57214475],0
2,65,628,1,1,1,[0.7978463],1
3,340,1046,1,1,0,[0.733028],0
4,95,631,1,1,0,[0.81086534],1
5,385,983,2,1,0,[0.7166055],0
6,124,556,2,2,0,[0.7223782],0
7,491,686,2,1,0,[0.6842806],0
8,87,448,2,1,0,[0.80334705],1
9,288,538,2,2,0,[0.70599145],0
10,112,591,2,2,1,[0.77818525],1
11,187,932,1,2,0,[0.7173027],0
12,97,934,1,1,0,[0.66810405],0
13,484,926,1,2,0,[0.6364203],0
14,320,395,2,2,0,[0.6430527],0
15,288,565,2,1,0,[0.64573014],0
16,89,825,2,2,1,[0.7250531],0
17,428,433,2,1,1,[0.7874055],1
18,315,535,2,1,1,[0.8339606],1
19,833,1017,1,1,0,[0.6000983],0
20,340,398,1,1,1,[0.85422266],1
21,15,170,2,2,1,[0.8766885],1
22,256,265,2,2,0,[0.8234341],1
23,361,741,2,2,1,[0.8547535],1
24,316,471,1,1,0,[0.8732118],1
25,239,799,1,2,0,[0.56839],0
26,35,859,1,2,0,[0.70604795],0
27,121,494,2,1,1,[0.880772],1
28,182,773,2,2,0,[0.65988404],0
29,710,1007,1,2,0,[0.61916095],0
30,366,398,2,1,1,[0.79690063],1
31,387,762,1,2,0,[0.61184096],0
32,479,1038,2,2,0,[0.5238424],0
33,52,356,1,1,1,[0.8402521],1
34,114,492,1,2,0,[0.8098037],1
35,584,796,1,1,0,[0.50503236],0
36,139,242,1,2,1,[0.8263908],1
37,382,940,2,2,1,[0.79633427],1
38,356,386,1,1,1,[0.88128525],1
39,32,601,1,2,1,[0.8633353],1
40,79,832,1,2,1,[0.74527395],0
41,52,832,1,2,0,[0.7858733],1
42,30,783,2,2,0,[0.68078905],0
43,328,384,1,1,1,[0.8696717],1
44,321,353,2,1,1,[0.75088984],0
45,704,999,2,1,0,[0.62596],0
46,472,995,1,1,0,[0.5753524],0
47,98,484,1,1,1,[0.7761315],1
48,114,462,1,1,1,[0.8202405],1
49,12,1016,1,2,0,[0.7065199],0
50,300,716,1,1,0,[0.62065977],0
51,446,765,1,1,0,[0.6655719],0
52,505,526,2,1,0,[0.81203556],1
53,228,305,2,1,0,[0.8098006],1
54,168,643,1,1,1,[0.8371331],1
55,265,361,2,2,1,[0.7919649],1
56,266,305,1,1,1,[0.8481383],1
57,318,1044,1,1,0,[0.6861897],0
58,120,541,2,2,1,[0.8332743],1
59,430,961,2,2,0,[0.63712275],0
60,5,72,2,2,1,[0.81526655],1
61,251,656,2,1,1,[0.88010496],1
62,103,195,1,1,1,[0.8024625],1
63,122,223,2,1,1,[0.8541513],1
64,236,442,1,2,0,[0.7316489],0
65,2,563,2,1,0,[0.6913609],0
66,322,426,2,2,1,[0.8792531],1
67,61,180,1,1,1,[0.8061473],1
68,818,848,2,2,1,[0.56202257],0
69,213,485,1,1,0,[0.7048792],0
70,757,982,1,2,0,[0.53552157],0
71,118,343,2,2,1,[0.86987084],1
72,422,642,2,2,1,[0.7233821],0
73,226,668,2,1,1,[0.7666328],0
74,168,365,1,1,1,[0.83463764],1
75,193,942,2,2,0,[0.6464369],0
76,14,645,1,2,1,[0.8473734],1
77,510,986,1,2,0,[0.5851386],0
78,0,97,1,1,1,[0.74449724],0
79,382,426,2,2,1,[0.89956796],1
80,120,261,2,2,0,[0.8409993],1
81,417,956,1,1,0,[0.7312068],0
82,289,596,1,1,1,[0.87183726],1
83,496,784,2,2,0,[0.64684],0
84,71,113,1,2,1,[0.7586862],0
85,354,572,1,1,0,[0.68676233],0
86,406,832,2,2,0,[0.81718606],1
87,796,995,1,1,0,[0.4813782],0
