,node1,node2,gender1,gender2,grt,score,biscore
0,109,365,1,1,1,1,1
1,402,783,2,2,1,1,1
2,111,227,2,2,1,1,1
3,180,424,1,1,1,1,1
4,39,471,1,1,1,1,1
5,493,1008,2,2,1,1,1
6,246,296,2,2,1,1,1
7,156,192,1,1,1,1,1
8,271,305,1,1,1,1,1
9,56,323,1,1,1,1,1
10,579,913,2,2,1,1,1
11,14,508,1,1,1,1,1
12,217,240,1,2,1,1,1
13,74,299,1,1,1,1,1
14,113,263,2,2,1,1,1
15,277,662,2,1,1,1,1
16,66,518,2,2,1,1,1
17,545,732,1,1,1,1,1
18,70,81,1,1,1,1,1
19,273,497,2,2,1,1,1
20,3,152,1,1,1,1,1
21,296,942,2,2,1,1,1
22,116,311,1,1,1,1,1
23,245,469,1,1,1,1,1
24,378,601,2,2,1,1,1
25,85,1026,2,2,1,1,1
26,36,310,2,2,1,1,1
27,68,231,1,1,1,1,1
28,91,270,2,2,1,1,1
29,116,235,1,2,1,1,1
30,72,113,2,2,1,1,1
31,487,636,2,2,1,1,1
32,284,574,2,2,1,1,1
33,422,660,2,2,1,1,1
34,816,975,2,2,1,1,1
35,85,582,2,2,1,1,1
36,410,784,2,2,1,1,1
37,20,215,1,1,1,1,1
38,149,437,2,2,1,1,1
39,158,317,2,1,1,1,1
40,310,616,2,1,1,1,1
41,116,687,1,2,1,1,1
42,146,364,2,2,1,1,1
43,185,498,2,2,1,1,1
44,21,604,2,2,1,1,1
45,42,429,1,1,1,1,1
46,132,303,1,2,1,1,1
47,360,776,1,2,1,1,1
48,420,738,2,1,1,1,1
49,293,380,2,2,1,1,1
50,39,328,1,1,1,1,1
51,60,601,2,2,1,1,1
52,152,532,1,2,1,1,1
53,332,470,1,2,1,1,1
54,85,250,2,2,1,1,1
55,32,506,1,1,1,1,1
56,80,278,1,1,1,1,1
57,66,217,2,1,1,1,1
58,511,769,1,1,1,1,1
59,490,524,1,1,1,1,1
60,26,490,1,1,1,1,1
61,51,85,1,2,1,1,1
62,127,198,2,2,1,1,1
63,112,323,2,1,1,1,1
64,149,706,2,2,1,1,1
65,121,251,2,2,1,1,1
66,158,528,2,1,1,1,1
67,384,509,1,1,1,1,1
68,455,898,1,1,1,1,1
69,370,682,2,2,1,1,1
70,206,316,1,1,1,1,1
71,870,871,2,2,1,1,1
72,139,325,1,1,1,1,1
73,625,660,2,2,1,1,1
74,185,519,2,1,1,1,1
75,148,509,1,1,1,1,1
76,392,822,2,2,1,1,1
77,103,370,1,2,1,1,1
78,336,659,2,2,1,1,1
79,232,452,1,1,1,1,1
80,324,508,1,1,1,1,1
81,85,459,2,1,1,1,1
82,170,203,2,2,1,1,1
83,158,424,2,1,1,1,1
84,15,33,2,2,1,1,1
85,471,528,1,1,1,1,1
86,5,428,2,2,1,1,1
87,118,303,2,2,1,1,1
88,427,470,1,2,1,1,1
89,51,354,1,1,1,1,1
90,170,271,2,1,1,1,1
91,43,535,1,1,1,1,1
92,13,883,2,2,1,1,1
93,382,594,2,2,1,1,1
94,278,377,1,1,1,1,1
95,61,103,1,1,1,1,1
96,47,52,1,1,1,1,1
97,197,359,1,2,1,1,1
98,93,310,2,2,1,1,1
99,718,827,1,2,1,1,1
100,579,647,2,2,1,1,1
101,217,458,1,1,1,1,1
102,224,442,2,2,1,1,1
103,44,621,2,2,1,1,1
104,69,206,1,1,1,1,1
105,16,470,2,2,1,1,1
106,371,426,2,2,1,1,1
107,267,295,1,1,1,1,1
108,788,899,1,2,1,1,1
109,59,217,1,1,1,1,1
110,121,256,2,2,1,1,1
111,24,671,2,2,1,1,1
112,222,518,1,2,1,1,1
113,909,974,2,2,1,1,1
114,275,526,1,1,1,1,1
115,148,256,1,2,1,1,1
116,620,636,1,2,1,1,1
117,152,242,1,2,1,1,1
118,431,768,2,2,1,1,1
119,149,267,2,1,1,1,1
120,190,328,2,1,1,1,1
121,12,644,1,1,1,1,1
122,72,359,2,2,1,1,1
123,254,627,2,2,1,1,1
124,275,458,1,1,1,1,1
125,21,690,2,2,1,1,1
126,501,750,1,2,1,1,1
127,270,339,2,1,1,1,1
128,143,195,1,1,1,1,1
129,191,247,2,1,1,1,1
130,32,324,1,1,1,1,1
131,647,704,2,2,1,1,1
132,82,866,1,1,1,1,1
133,66,127,2,2,1,1,1
134,156,253,1,1,1,1,1
135,52,62,1,1,1,1,1
136,15,170,2,2,1,1,1
137,458,501,1,1,1,1,1
138,713,941,2,1,1,1,1
139,5,273,2,2,1,1,1
140,194,330,2,1,1,1,1
141,23,365,1,1,1,1,1
142,507,622,2,2,1,1,1
143,244,619,1,1,1,1,1
144,322,601,2,2,1,1,1
145,296,947,2,2,1,1,1
146,245,496,1,2,1,1,1
147,420,476,2,2,1,1,1
148,334,425,1,1,1,1,1
149,103,212,1,1,1,1,1
150,73,385,2,2,1,1,1
151,45,91,1,2,1,1,1
152,135,217,2,1,1,1,1
153,68,140,1,2,1,1,1
154,483,655,2,2,1,1,1
155,10,261,2,2,1,1,1
156,229,415,1,2,1,1,1
157,12,507,1,2,1,1,1
158,127,560,2,2,1,1,1
159,208,406,2,2,1,1,1
160,23,725,1,1,1,1,1
161,279,847,2,2,1,1,1
162,194,601,2,2,1,1,1
163,0,386,1,1,1,1,1
164,203,653,2,2,1,1,1
165,9,468,2,2,1,1,1
166,96,426,2,2,1,1,1
167,149,400,2,2,1,1,1
168,43,245,1,1,1,1,1
169,105,332,2,1,1,1,1
170,190,247,2,1,1,1,1
171,266,303,1,2,1,1,1
172,109,509,1,1,1,1,1
173,284,415,2,2,1,1,1
174,332,435,1,1,1,1,1
175,138,628,2,1,1,1,1
176,34,549,1,1,1,1,1
177,207,694,1,1,1,1,1
178,66,242,2,2,1,1,1
179,75,96,2,2,1,1,1
180,368,502,1,1,1,1,1
181,47,142,1,1,1,1,1
182,494,645,1,2,1,1,1
183,37,53,2,2,1,1,1
184,277,518,2,2,1,1,1
185,184,710,1,1,1,1,1
186,735,819,1,1,1,1,1
187,41,195,1,1,1,1,1
188,59,291,1,1,1,1,1
189,121,222,2,1,1,1,1
190,70,225,1,2,1,1,1
191,273,385,2,2,1,1,1
192,24,569,2,2,1,1,1
193,206,289,1,1,1,1,1
194,162,667,1,1,1,1,1
195,44,347,2,1,1,1,1
196,325,334,1,1,1,1,1
197,103,329,1,1,1,1,1
198,20,771,1,1,1,1,1
199,555,766,2,1,1,1,1
200,573,617,2,2,1,1,1
201,43,418,1,1,1,1,1
202,220,346,2,2,1,1,1
203,607,862,2,2,1,1,1
204,33,377,2,1,1,1,1
205,115,338,2,1,1,1,1
206,302,958,1,1,1,1,1
207,209,378,2,2,1,1,1
208,359,776,2,2,1,1,1
209,52,208,1,2,1,1,1
210,63,496,2,2,1,1,1
211,238,878,2,2,1,1,1
212,42,61,1,1,1,1,1
213,104,270,1,2,1,1,1
214,860,861,2,2,1,1,1
215,240,382,2,2,1,1,1
216,85,106,2,1,1,1,1
217,142,146,1,2,1,1,1
218,398,824,1,2,1,1,1
219,188,468,2,2,1,1,1
220,504,929,2,2,1,1,1
221,160,381,2,2,1,1,1
222,40,195,1,1,1,1,1
223,71,399,1,2,1,1,1
224,25,339,2,1,1,1,1
225,13,274,2,2,1,1,1
226,352,418,2,1,1,1,1
227,139,213,1,1,1,1,1
228,127,746,2,1,1,1,1
229,291,494,1,1,1,1,1
230,148,365,1,1,1,1,1
231,25,143,2,1,1,1,1
232,11,108,2,2,1,1,1
233,292,659,1,2,1,1,1
234,426,429,2,1,1,1,1
235,86,770,1,2,1,1,1
236,416,506,1,1,1,1,1
237,81,386,1,1,1,1,1
238,411,561,2,2,1,1,1
239,122,577,2,2,1,1,1
240,85,443,2,2,1,1,1
241,20,458,1,1,1,1,1
242,179,299,1,1,1,1,1
243,75,458,2,1,1,1,1
244,268,546,1,1,1,1,1
245,51,146,1,2,1,1,1
246,291,643,1,1,1,1,1
247,166,193,2,2,1,1,1
248,23,328,1,1,1,1,1
249,4,139,1,1,1,1,1
250,244,528,1,1,1,1,1
251,117,270,2,2,1,1,1
252,283,468,1,2,1,1,1
253,126,596,1,1,1,1,1
254,179,231,1,1,1,1,1
255,61,215,1,1,1,1,1
256,365,705,1,2,1,1,1
257,139,386,1,1,1,1,1
258,72,639,2,2,1,1,1
259,168,289,1,1,1,1,1
260,103,179,1,1,1,1,1
261,659,921,2,1,1,1,1
262,1,240,2,2,1,1,1
263,222,662,1,1,1,1,1
264,409,859,2,2,1,1,1
265,309,419,1,1,1,1,1
266,668,669,1,1,1,1,1
267,62,97,1,1,1,1,1
268,9,123,2,2,1,1,1
269,85,192,2,1,1,1,1
270,138,593,2,2,1,1,1
271,41,298,1,1,1,1,1
272,27,331,1,1,1,1,1
273,299,750,1,2,1,1,1
274,543,899,2,2,1,1,1
275,499,768,2,2,1,1,1
276,14,401,1,1,1,1,1
277,113,490,2,1,1,1,1
278,207,273,1,2,1,1,1
279,66,595,2,2,1,1,1
280,13,120,2,2,1,1,1
281,253,595,1,2,1,1,1
282,73,213,2,1,1,1,1
283,22,142,1,1,1,1,1
284,151,494,2,1,1,1,1
285,301,445,1,2,1,1,1
286,106,201,1,1,1,1,1
287,235,487,2,2,1,1,1
288,590,671,1,2,1,1,1
289,73,273,2,2,1,1,1
290,305,471,1,1,1,1,1
291,263,346,2,2,1,1,1
292,157,243,2,1,1,1,1
293,217,536,1,1,1,1,1
294,397,804,1,1,1,1,1
295,48,270,2,2,1,1,1
296,163,559,2,2,1,1,1
297,419,697,1,1,1,1,1
298,209,285,2,1,1,1,1
299,299,415,1,2,1,1,1
300,391,583,2,2,1,1,1
301,591,676,2,2,1,1,1
302,199,271,1,1,1,1,1
303,699,719,1,1,1,1,1
304,42,70,1,1,1,1,1
305,192,615,1,2,1,1,1
306,104,275,1,1,1,1,1
307,394,682,2,2,1,1,1
308,493,784,2,2,1,1,1
309,41,407,1,2,1,1,1
310,75,240,2,2,1,1,1
311,610,871,2,2,1,1,1
312,47,126,1,1,1,1,1
313,222,240,1,2,1,1,1
314,26,263,1,2,1,1,1
315,210,699,2,1,1,1,1
316,2,175,2,2,1,1,1
317,126,334,1,1,1,1,1
318,59,147,1,1,1,1,1
319,174,192,2,1,1,1,1
320,291,501,1,1,1,1,1
321,353,668,1,1,1,1,1
322,542,638,1,2,1,1,1
323,244,290,1,1,1,1,1
324,811,920,2,2,1,1,1
325,211,520,1,2,1,1,1
326,232,377,1,1,1,1,1
327,10,24,2,2,1,1,1
328,266,494,1,1,1,1,1
329,492,714,2,2,1,1,1
330,21,376,2,2,1,1,1
331,67,214,1,1,1,1,1
332,25,750,2,2,1,1,1
333,9,209,2,2,1,1,1
334,281,660,1,2,1,1,1
335,317,356,1,1,1,1,1
336,303,305,2,1,1,1,1
337,42,205,1,2,1,1,1
338,298,339,1,1,1,1,1
339,194,256,2,2,1,1,1
340,14,47,1,1,1,1,1
341,143,329,1,1,1,1,1
342,62,283,1,1,1,1,1
343,94,136,1,1,1,1,1
344,207,427,1,1,1,1,1
345,624,947,2,2,1,1,1
346,571,668,1,1,1,1,1
347,255,415,2,2,1,1,1
348,202,233,2,2,1,1,1
349,294,713,2,2,1,1,1
350,178,449,1,1,1,1,1
351,14,619,1,1,1,1,1
352,316,343,1,2,1,1,1
353,740,847,2,2,1,1,1
354,145,665,2,2,1,1,1
355,103,142,1,1,1,1,1
356,36,197,2,1,1,1,1
357,149,930,2,1,1,1,1
358,331,771,1,1,1,1,1
359,10,331,2,1,1,1,1
360,215,278,1,1,1,1,1
361,289,656,1,1,1,1,1
362,512,648,2,2,1,1,1
363,205,429,2,1,1,1,1
364,135,343,2,2,1,1,1
365,52,407,1,2,1,1,1
366,333,346,2,2,1,1,1
367,33,102,2,2,1,1,1
368,185,419,2,1,1,1,1
369,411,673,2,2,1,1,1
370,565,960,1,1,1,1,1
371,233,623,2,1,1,1,1
